"* Required Fields","* Pflichtfelder"
"New Address","Neue Adresse"
"Add New Address","Neue Adresse hinzufügen"
"New Group","Neue Gruppe"
"New Customer Address","Neue Kundenanschrift"
"New Customer Group","Neue Kundengruppe"
"New Customer Groups","Neue Kundengruppen"
"New Address Entry","Neuer Adresseintrag"
"New Customer","Neuer Kunde"
"New account","Neues Kundenkonto"
"New passowrd","Neues Passwort"
"New Password","Neues Passwort"
"Confirm New Password","Neues Passwort bestätigen"
"New Customers","Neukunden"
"Newsletters","Newsletter"
"Newsletter","Newsletter"
"Newsletter Subscription","Newsletter Abonnement"
"Newsletter Finish","Newsletter Abschluss"
"Edit Newsletters","Newsletter bearbeiten"
"Newsletter Received","Newsletter erhalten"
"Newsletter Information","Newsletter Information"
"Newsletter Start","Newsletter Start"
"Edit Newsletter Subscription","Newsletterabonnement bearbeiten"
"Not Sent","Nicht gesendet"
"Never","Niemals"
"Visitors Only","Nur Besucher"
"or","oder"
"Offline","Offline"
"Online","Online"
"Password","Passwort"
"Change Password","Passwort ändern"
"Confirm Password","Passwort bestätigen"
"Change Account Password","Passwort für Benutzerkonto ändern"
"Save Password","Passwort speichern"
"Forgot Your Password?","Passwort vergessen?"
"Password Options","Passwortoptionen"
"Password Management","Passwortverwaltung"
"Pasword fields can't be empty.","Pasword fields can't be empty."
"Paused","Pausiert"
"PDF","PDF"
"Personal Information","Persönliche Information"
"Edit Personal Information","Persönliche Informationen bearbeiten"
"Zip/Postal Code","Postleitzahl"
"ZIP/Post Code","Postleitzahl"
"ZIP/Postal Code","Postleitzahl"
"ZIP","Postleitzahl"
"Price","Preis"
"Primary Billing Address","Primäre Rechnungsadresse"
"Primary Shipping Address","Primäre Versandadresse"
"Per Website","pro Website"
"Product","Produkt"
"Product ID","Produkt-ID"
"Product name","Produktname"
"Product Name","Produktname"
"Change Billing Address","Rechnungsadresse ändern"
"Billing Information","Rechnungsinformation"
"Registered Customers","Registrierte Kunden"
"Tag Name","Schlagwort"
"Product Tags","Schlagworte"
"Sending","Sende"
"Visible In","Sichtbar in"
"You have no additional entries in your address book.","Sie besitzen keine zusätzlichen Einträge in Ihrem Adressbuch."
"You have no default billing address in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Rechnungsadresse."
"You have no default shipping address in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Versandadresse."
"You have not set a primary shipping address.","Sie haben keine primäre Versandadresse eingetragen."
"You have no additional address entries in your address book.","Sie haben keine zusätzlichen Adresseinträge in Ihrem Adressbuch."
"You have placed no products yet.","Sie haben noch keine Artikel ausgewählt."
"You have placed no orders yet.","Sie haben noch keine Bestellung aufgegeben."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Sie haben sich erfolgreich abgemeldet und werden innerhalb von 5 Sekunden zu unserer Startseite weitergeleitet."
"You're now Logged Out","Sie sind jetzt abgemeldet"
"You are currently subscribed to 'General Subscription'.","Sie sind momentan für das Abo 'Allgemeines' eingetragen."
"You are currently subscribed to our newsletter","Sie sind momentan für unseren Newsletter eingetragen"
"You are currently subscribed to our newsletter.","Sie sind momentan für unseren Newsletter eingetragen."
"You are currently not subscribed to any newsletter.","Sie sind momentan zu keinem Newsletter angemeldet."
"Are you sure you want to cancel adding of this address?","Sind Sie sicher, daß Sie die Adresseingabe abbrechen möchten?"
"Are you sure the you want to remove this item?","Sind Sie sicher, daß Sie diesen Artikel entfernen wollen?"
"Are you sure that you want to remove this item?","Sind Sie sicher, daß Sie diesen Artikel entfernen wollen?"
"Are you sure?","Sind Sie sicher?"
"Session Start Time","Sitzung Startzeit"
"Are you sure you want to delete this address?","Soll diese Adresse wirklich gelöscht werden?"
"Save","Speichern"
"City","Stadt"
"Default Email Domain","Standard E-Maildomain"
"Default Billing Address","Standard Rechnungsadresse"
"Default Shipping Address","Standard Versandadresse"
"Default Addresses","Standardadressen"
"Default Group","Standardgruppe"
"Status","Status"
"Qty","Stück"
"Tax class","Steuerklasse"
"Tax Class","Steuerklasse"
"Store","Store"
"Store View","StoreView"
"Street Address","Straße"
"Street Address 2","Straße (erweitert)"
"Days in Wishlist","Tage auf dem Wunschzettel"
"Telephone","Telefon"
"Text","Text"
"Text One Line","Text einzeilig"
"Sign up for our newsletter","Tragen Sie sich für unseren Newsletter ein"
"Sign Up for Newsletter","Tragen Sie sich für unseren Newsletter ein."
"Type","Typ"
"Unknown","Unbekannt"
"Invalid attribute set specified, skipping the record","Ungültige Attributoption für Attribut %s (%s) definiert, überspringe den Eintrag"
"Invalid email address","Ungültige E-Mailadresse"
"Invalid customer data","Ungültige Kundendaten"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ungültige Option für Attribut %s definiert (%s), überspringe den Eintrag"
"Invalid option id specified for %s (%s), skipping the record","Ungültige Options-ID angegeben für %s (%s), überspringe den Eintrag"
"Invalid store specified, skipping the record","Ungültiger Store definiert, überspringe den Eintrag"
"Sales Statistics","Verkaufsstatistik"
"Ship to Last name","Versand an - Nachname"
"Ship to First name","Versand an - Vorname"
"Change Shipping Address","Versandadresse ändern"
"Shipping Method","Versandart"
"Shipping Information","Versandinformation"
"Shipped to Last Name","Versandt an - Nachname"
"Shipped to Name","Versandt an - Name"
"Shipped to First Name","Versandt an - Vorname"
"Thank you for registering with %s","Vielen Dank für Ihre Registrierung bei %s"
"Unsubscribe from newsletter","Vom Newsletter abmelden"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Von Ihrer Kundenkonto-Übersicht aus haben Sie die Möglichkeit, Ihre letzten Vorgänge einzusehen und Ihre Kundenkonto-Daten zu bearbeiten. Wählen Sie dazu einen der untenstehenden Links, um Informationen anzusehen oder zu bearbeiten."
"First Name","Vorname"
"Missing firstname, skipping the record","Vorname fehlt, Eintrag wird übersprungen"
"Shopping Cart","Warenkorb"
"Shopping Cart - %d item(s)","Warenkorb - %d Artikel"
"Website","Website"
"Continue Shopping","Weiter einkaufen"
"If you have an account with us, please log in.","Wenn Sie bei uns ein Benutzerkonto besitzen, melden Sie sich bitte an."
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Wenn Sie in unserem Shop ein Benutzerkonto einrichten, werden Sie schneller durch den Bestellvorgang geführt, können mehrere Versandadressen speichern, können Ihren bisherigen Bestellablauf verfolgen und vieles mehr."
"Send welcome email","Willkommensnachricht senden"
"Wishlist","Wunschzettel"
"Wishlist - %d item(s)","Wunschzettel - %d Artikel"
"XML","XML"
"Payment Method","Zahlweise"
"Last date subscribed","Zuletzt abonniert"
"Last Viewed Items","Zuletzt betrachtete Artikel"
"Last date unsubscribed","Zuletzt gekündigt"
"Go to Address Book","Zum Adressbuch"
"To Cart","Zum Warenkorb"
"You are currently not subscribed to our newsletter","Zur Zeit sind Sie nicht für unseren Newsletter eingetragen"
"Back","Zurück"
"Back to Login","Zurück zur Anmeldung"
"Array of Entity collections is expected","Zusammenstellung von Datensatzsammlungen erwartet"
"Additional Address Entries","Zusätzliche Adresseinträge"
