"%s was added to your shopping cart.","%s wurde in den Warenkorb gelegt."
"%s was updated in your shopping cart.","%s wurde aktualisiert im Warenkorb."
"* Required Fields","* Pflichtfelder"
"Continue Shopping","Weiter einkaufen"
"Continue to Billing Information","Weiter zu den Rechnungsinformationen"
"Continue to Review Your Order","Weiter zur Bestellübersicht"
"Continue to Shipping Information","Weiter zu den Versandinformationen"
"Country","Land"
"Coupon code ""%s"" is not valid.","Rabattcode ""%s"" ist ungültig."
"Coupon code ""%s"" was applied.","Rabattcode ""%s"" wurde angewendet."
"Coupon code was canceled.","Rabattcode wurde storniert."
"Create Billing Address","Rechnungsadresse anlegen"
"Create Shipping Address","Versandadresse anlegen"
"Create an order from shopping cart","Erstelle eine Bestellung aus dem Warenkorb"
"Create shopping cart","Warenkorb anlegen"
"Customer Information","Kundeninformation"
"Customer's information","Kundeninformation"
"Data saving problem","Problem beim Speichern der Daten"
"Default Billing","Standardrechnung"
"Default Shipping","Standard Versand"
"Delete Condition","Bedingung löschen"
"Details","Details"
"Disabled","Deaktiviert"
"Discount Codes","Rabattcodes"
"Display Cart Summary","Anzeige"
"Display Shopping Cart Sidebar","Warenkorbsidebar anzeigen"
"Display item quantities","Artikelmenge"
"Display number of items in cart","Anzahl der Artikel im Warenkorb"
"Display number of items in wishlist","Anzahl der Artikel auf dem Wunschzettel"
"Easy access to your order history and status","Einfacher Zugriff auf Ihre bisherigen Bestellungen und deren Status"
"Edit","Bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Billing Address","Rechnungsadresse bearbeiten"
"Edit Items","Artikel bearbeiten"
"Edit Shipping Address","Versandadresse bearbeiten"
"Edit Terms and Conditions","AGB bearbeiten"
"Edit Your Cart","Warenkorb bearbeiten"
"Edit item","Artikel bearbeiten"
"Edit item parameters","Artikelparameter bearbeiten"
"Email Address","E-Mail Adresse"
"Enable Onepage Checkout","Einseitigen Bezahlvorgang aktivieren (Onepage Checkout)"
"Enable Terms and Conditions","Bestellbedingungen aktivieren"
"Enabled","Aktiviert"
"Enter a New Address","Neue Adresse eingeben"
"Enter your coupon code if you have one.","Wenn Sie einen Rabattcode besitzen, geben Sie diesen bitte hier ein."
"Enter your destination to get a shipping estimate.","Geben Sie Ihren Zielort ein, um die geschätzten Versandkosten anzuzeigen."
"Estimate Shipping and Tax","Versandkosten (geschätzt)"
"Excl. Tax","zzgl. Steuern"
"Fast and easy check out","Schneller und einfacher Bestellvorgang"
"Fax","Fax"
"Forgot an Item?","Artikel vergessen?"
"Forgot your password?","Passwort vergessen?"
"Get a Quote","geschätzte Kosten anzeigen"
"Get list of available payment methods","Liste von verfügbaren Zahlarten anzeigen"
"Get list of available shipping methods","Liste von verfügbaren Versandarten anzeigen"
"Get list of products in shopping cart","Liste von Artikeln im Warenkorb anzeigen"
"Get terms and conditions","Bestellbedingungen anzeigen"
"Get total prices for shopping cart","Gesamtpreise für Warenkorb erhalten"
"Gift Message","Nachricht"
"Grand Total:","Gesamtsumme:"
"Grouped Product Image","Bild für Gruppen Artikel"
"HTML","HTML"
"ID","ID"
"Incl. Tax","inkl. Steuern"
"Invalid method: %s","Ungültige Methode: %s"
"Item not found or already ordered","Artikel nicht gefunden oder bereits bestellt"
"Items","Artikel"
"Items After","Artikel danach"
"Items Before","Artikel davor"
"Load customer quote error","Fehler beim Laden des Kundenangebots"
"Loading next step...","Der nächste Schritt wird geladen..."
"Login","Anmelden"
"Login/Registration Before","Bitte melden Sie sich an oder registrieren Sie sich"
"Manage Checkout Terms and Conditions","Allgemeine Geschäftsbedingungen"
"Maximum Display Recently Added Item(s)","Höchstzahl Anzeige kürzlich hinzugefügter Artikel"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximalmenge für den Versand an mehrere Adressen ist: %s"
"Move to Wishlist","Auf den Wunschzettel"
"Multishipping Checkout","Gang zur Kasse mit mehreren Adressen"
"Multishipping Checkout Address (Any) Form","Gang zur Kasse mit mehreren Adressen - Anschrift"
"Multishipping Checkout Billing Address Creation","Gang zur Kasse mit mehreren Adressen - Rechnungsanschrift erstellen"
"Multishipping Checkout Billing Address Edit Form","Gang zur Kasse mit mehreren Adressen - Rechnungsanschrift bearbeiten"
"Multishipping Checkout Billing Address Selection","Gang zur Kasse mit mehreren Adressen - Rechnungsanschrift auswählen"
"Multishipping Checkout Billing Information Step","Gang zur Kasse mit mehreren Adressen - Rechnungsanschrift anzeigen"
"Multishipping Checkout Customer Address Edit Form","Gang zur Kasse mit mehreren Adressen - Kundenanschrift bearbeiten"
"Multishipping Checkout Overview","Gang zur Kasse mit mehreren Adressen - Übersicht"
"Multishipping Checkout Shipping Address Creation","Gang zur Kasse mit mehreren Adressen - Versandanschrift erstellen"
"Multishipping Checkout Shipping Address Edit Form","Gang zur Kasse mit mehreren Adressen - Versandanrschrift bearbeiten"
"Multishipping Checkout Shipping Address Selection","Gang zur Kasse mit mehreren Adressen - Versandanschrift auswählen"
"Multishipping Checkout Shipping Information Step","Gang zur Kasse mit mehreren Adressen - Versandanschrift anzeigen"
"Multishipping Checkout Success","Gang zur Kasse mit mehreren Adressen - Erfolgreich abgeschlossen"
"My Cart","Mein Warenkorb"
"My Cart (%s item)","Mein Warenkorb (%s Artikel)"
"My Cart (%s items)","Mein Warenkorb (%s Artikel)"
"My Cart Link","Mein Warekorb Link"
"New Address","Neue Adresse"
"New Condition","Neue Bedingung"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","Der Gesamtbetrag der Bestellung wird Ihnen noch einmal angezeigt, bevor Sie die Bestellung aufgeben."
"One Page Checkout","Einseitigen Bezahlvorgang"
"One Page Checkout Failure","Einseitiger Bezahlvorgang - Fehler"
"One Page Checkout Overview","Einseitiger Bezahlvorgang - Übersicht"
"One Page Checkout Success","Einseitiger Bezahlvorgang - Erfolgreich abgeschlossen"
"One item of products do not have identifier or sku","Ein Artikel besitzt keine SKU"
"One item of products is not belong any of quote item","Ein Artikel gehört nicht zu einem Artikel im Warenkorb"
"Order #","Bestellung Nr."
"Order Review","Bestellübersicht"
"Order Success","Bestellung erfolgt"
"Order place error.","Die Bestellung konnte nicht aufgegeben werden."
"Other Items in Your Order","Andere Artikel in Ihrer Bestellung"
"Overview Items After","Übersicht Artikel nach"
"Password","Passwort"
"Payment Failed Email Reciever","E-Mail Empfänger bei fehlgeschlagener Zahlung"
"Payment Failed Email Sender","E-Mail Absender bei fehlgeschlagener Zahlung"
"Payment Failed Emails","E-Mails bei fehlgeschlagener Zahlung"
"Payment Failed Template","E-Mail Vorlage bei fehlgeschlagener Zahlung"
"Payment Information","Zahlungsinformation"
"Payment Method","Zahlweise"
"Payment Methods After Checkout Button","Zahlarten nach dem zur Kasse Button"
"Payment Methods Before Checkout Button","Zahlarten vor dem zur Kasse Button"
"Payment method information","Zahlmethoden Information"
"Payment method is not defined","Die Zahlweise ist nicht definiert"
"Payment methods in shopping cart","Zahlarten im Warenkorb"
"Payment profile # %s: ""%s"".","Zahlungs-Profil # %s: ""%s""."
"Place Order","Bestellung abschließen"
"Please agree to all Terms and Conditions before placing the order.","Bitte bestätigen Sie unsere Bedingungen bevor Sie die Bestellung abschließen."
"Please agree to all Terms and Conditions before placing the orders.","Bitte bestätigen Sie unsere Bedingungen bevor Sie die Bestellung abschließen."
"Please agree to all the terms and conditions before placing the order.","Bitte bestätigen Sie alle Bedingungen bevor Sie die Bestellung abschließen."
"Please log in below:","Bitte melden Sie sich hier an:"
"Please select region, state or province","Bitte wählen Sie Region, Land oder Bundesland"
"Please select shipping address for applicable items","Bitte wählen Sie die Versandadresse für die verfügbaren Artikel"
"Please select shipping methods for all addresses","Bitte wählen Sie die Versandarten für alle Adressen"
"Price","Preis"
"Proceed to Checkout","zur Kasse gehen"
"Product","Artikel"
"Product Name","Artikelname"
"Products","Artikel"
"Qty","Menge"
"Qty:","Menge"
"Quantity was recalculated from %d to %d","Menge wurde von %d auf %d geändert"
"Quote Lifetime (days)","Lebenszeit (in Tagen) angeben"
"Quote item does not exist.","Warenkorb-Artikel existiert nicht."
"Quote item is not found.","Warenkorb-Artikel wurde nicht gefunden."
"Recently added item(s)","Kürzlich hinzugefügte Artikel"
"Register","Registrieren"
"Register and save time!","Registrieren und Zeit sparen!"
"Register to Create an Account","Registrieren Sie sich, um Ihr Benutzerkonto anzulegen"
"Register with us for future convenience:","Registrieren Sie sich für mehr Komfort bei Ihrem nächsten Besuch:"
"Remove Item","Artikel entfernen"
"Remove This Item","Diesen Artikel entfernen"
"Remove coupon code from shopping cart","Rabattcode vom Warenkorb entfernen"
"Remove item","Artikel entfernen"
"Remove product from shopping cart","Artikel vom Warenkorb entfernen"
"Remove product(s) from shopping cart","Artikel vom Warenkorb entfernen"
"Retrieve information about shopping cart","Informationen über den Warenkorb werden abgefragt"
"Review Order","Bestellübersicht"
"Review Order - %s","Bestellübersicht - %s"
"Sales","Verkäufe"
"Save Condition","Bedingung speichern"
"Save in address book","Im Adressbuch speichern"
"See price before order confirmation.","Bitte beachten Sie den Preis vor der Bestellbestätigung."
"Select Address","Adresse auswählen"
"Select Addresses","Adressen auswählen"
"Select Shipping Method","Versandart auswählen"
"Select State/Province...","Land/Bundesland auswählen..."
"Select a billing address from your address book or enter a new address.","Wählen Sie eine Rechnungsadresse aus Ihrem Adressbuch oder legen Sie eine neue Adresse an."
"Select a shipping address from your address book or enter a new address.","Wählen Sie eine Versandadresse aus Ihrem Adressbuch oder legen Sie eine neue Adresse ein."
"Send Payment Failed Email Copy Method","Methode für E-Mail Kopie bei Zahlungsfehler"
"Send Payment Failed Email Copy To","E-Mail Kopie bei<br />Zahlungsfehler an"
"Send To","Sende an"
"Separate by "","".","Trennen durch "",""."
"Set customer for shopping cart","Kunden für Warenkorb festlegen"
"Set customer's addresses in shopping cart","Kundenanschrift für Warenkorb festlegen"
"Set payment method","Zahlart setzen"
"Set shipping method","Versandart setzen"
"Ship to Multiple Addresses","An mehrere Adressen versenden"
"Ship to different address","An andere Adresse verschicken"
"Ship to this address","An diese Adresse verschicken"
"Shipping Address","Versandadresse"
"Shipping Information","Versandinformation"
"Shipping Method","Versandart"
"Shipping Methods","Versandarten"
"Shipping To","Verschicken an"
"Shipping information","Versandinformation"
"Shipping method has not been selected yet","Es wurde noch keine Versandart ausgewählt"
"Shipping methods in shopping cart","Versandarten im Warenkorb"
"Shipping selection is not applicable.","Ausgewählte Versandart nicht anwendbar."
"Shopping Cart","Warenkorb"
"Shopping Cart Form Before","Warenkorb Formular davor"
"Shopping Cart Sidebar","Warenkorb-Sidebar"
"Shopping Cart Sidebar Extra Actions","Warenkorb Sidebar Zusatz Aktionen"
"Shopping Cart is Empty","Der Warenkorb ist leer"
"Shopping cart ability to set coupon code","Warenkorb - Verfügbarkeit Rabattcodes anzuwenden"
"Show Content as","Zeige Inhalt als"
"Some of the requested products are not available in the desired quantity.","Einige der angeforderten Artikel sind in der gewünschten Stückzahl nicht verfügbar."
"Some of the requested products are unavailable.","Einige der angeforderten Artikel sind nicht verfügbar."
"Some products quantities were recalculated because of quantity increment mismatch","Einige Stückzahlen wurden angepasst, da die Verpackungseinheiten nicht gestimmt hatten."
"Sorry, no quotes are available for this order at this time.","Entschuldigung, momentan kann diese Bestellung nicht aufgegeben werden."
"State/Province","Land/Bundesland"
"Status","Status"
"Store View","StoreView"
"Street Address","Straße"
"Street Address %s","Straße %s"
"Submitting order information...","Bestellung wird übermittelt..."
"Subtotal","Pos. Zwischensumme"
"Telephone","Telefon"
"Terms and Conditions","Bestellbedingungen"
"Terms and Conditions Information","Informationen zu Bestellbedingungen"
"Terms and conditions","Bestellbedingungen"
"Text","Text"
"Thank you for your purchase!","Vielen Dank für Ihre Bestellung!"
"The condition has been deleted","Die Bedingung wurde gelöscht"
"The condition has been saved.","Die Bedingung wurde gespeichert."
"The onepage checkout is disabled.","Der Einseitige Bezahlungsvorgang ist deaktiviert."
"The product could not be found.","Der Artikel konnte nicht gefunden werden."
"The product does not exist.","Der Artikel existiert nicht."
"There are <a href=""%s"">%s items</a> in your cart.","Es sind <a href=""%s"">%s Artikel</a> im Warenkorb."
"There is <a href=""%s"">1 item</a> in your cart.","Es ist <a href=""%s"">1 Artikel</a> im Warenkorb."
"There was an error processing your order. Please contact us or try again later.","Beim Verarbeiten der Bestellung trat ein Fehler auf. Bitte versuchen Sie es später noch einmal oder nehmen Sie Kontakt mit uns auf."
"This condition no longer exists.","Diese Bedingung existiert nicht mehr."
"Total","Gesamt"
"Total for this address","Gesamtsumme für diese Adresse"
"Unable to set Payment Method.","Zahlart konnte nicht gesetzt werden."
"Unit Price","Einzelpreis"
"Update Cart","Warenkorb aktualisieren"
"Update Qty &amp; Addresses","Stückzahlen &amp; Adressen aktualisieren"
"Update Shopping Cart","Warenkorb aktualisieren"
"Update Total","Gesamtsumme aktualisieren"
"Update product quantities in shopping cart","Artikelanzahl im Warenkorb aktualisieren"
"Update product(s) quantities in shopping cart","Artikelanzahl im Warenkorb aktualisieren"
"Use Billing Address","Rechnungsadresse verwenden"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Zur Zeit bearbeiten wir Ihre Bestellung... Sie werden bald eine E-Mail mit Details zu Ihrer Bestellung erhalten.<br/>Nach erfolgtem Versand erhalten Sie eine weitere E-Mail mit einem Link zur Sendungsverfolgung."
"What's this?","Was ist das?"
"You have no items in your shopping cart.","Sie haben keine Artikel im Warenkorb."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie werden eine E-Mail mit einer detaillierten Bestell-Bestätigung erhalten sowie einen Link zur Überprüfung des Fortschritts Ihrer Bestellung."
"Your Checkout Progress","Ihr Bestellfortschritt"
"Your billing agreement # is: %s.","Ihre Zahlungsvereinbarungsnummer lautet: %s."
"Your order # is: %s.","Ihre Bestellnummer lautet: %s."
"Your order has been received","Ihre Bestellung wurde übermittelt"
"Your order number is ","Ihre Bestellnummer lautet "
"Your recurring payment profiles:","Ihre wiederkehrenden Zahlungen:"
"Zip/Postal Code","Postleitzahl"
